LJ001-0001|Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition|Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition
LJ001-0002|in being comparatively modern.|in being comparatively modern.
LJ001-0003|For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process|For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process
LJ001-0005|the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.|the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.
LJ001-0009|Printing, then, for our purpose, may be considered as the art of making books by means of movable types.|Printing, then, for our purpose, may be considered as the art of making books by means of movable types.
LJ001-0010|Now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,|Now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,
LJ001-0012|especially as no more time is occupied, or cost incurred, in casting, setting, or printing beautiful letters|especially as no more time is occupied, or cost incurred, in casting, setting, or printing beautiful letters
LJ001-0013|than in the same operations with ugly ones.|than in the same operations with ugly ones.
LJ001-0028|but by printers in Strasburg, Basle, Paris, Lubeck, and other cities.|but by printers in Strasburg, Basle, Paris, Lubeck, and other cities.
LJ001-0030|a very few years saw the birth of Roman character not only in Italy, but in Germany and France.|a very few years saw the birth of Roman character not only in Italy, but in Germany and France.
LJ001-0035|they discarded this for a more completely Roman and far less beautiful letter.|they discarded this for a more completely Roman and far less beautiful letter.
LJ001-0037|and the next year Gunther Zeiner at Augsburg followed suit;|and the next year Gunther Zeiner at Augsburg followed suit;
LJ001-0045|1469, 1470;|fourteen sixty-nine, fourteen seventy;
LJ001-0049|After his death in the "fourteen eighties," or at least by 1490, printing in Venice had declined very much;|After his death in the "fourteen eighties," or at least by fourteen ninety, printing in Venice had declined very much;
LJ001-0051|and paying great attention to the "press work" or actual process of printing,|and paying great attention to the "press work" or actual process of printing,
LJ001-0052|yet their type is artistically on a much lower level than Jenson's, and in fact|yet their type is artistically on a much lower level than Jenson's, and in fact
LJ001-0054|Jenson, however, had many contemporaries who used beautiful type,|Jenson, however, had many contemporaries who used beautiful type,
LJ001-0058|and are worthy representatives of the eager enthusiasm for the revived learning of that epoch. By far,|and are worthy representatives of the eager enthusiasm for the revived learning of that epoch. By far,
LJ001-0064|many of whose types, indeed, like that of the Subiaco works, are of a transitional character.|many of whose types, indeed, like that of the Subiaco works, are of a transitional character.
LJ001-0066|In fact Gunther Zeiner's first type (afterwards used by Schussler) is remarkably like the type of the before-mentioned Subiaco books.|In fact Gunther Zeiner's first type (afterwards used by Schussler) is remarkably like the type of the before-mentioned Subiaco books.
LJ001-0072|After the end of the fifteenth century the degradation of printing, especially in Germany and Italy,|After the end of the fifteenth century the degradation of printing, especially in Germany and Italy,
LJ001-0073|went on apace; and by the end of the sixteenth century there was no really beautiful printing done:|went on apace; and by the end of the sixteenth century there was no really beautiful printing done:
LJ001-0074|the best, mostly French or Low-Country, was neat and clear, but without any distinction;|the best, mostly French or Low-Country, was neat and clear, but without any distinction;
LJ001-0085|It was reserved for the founders of the later eighteenth century to produce letters which are positively ugly, and which, it may be added,|It was reserved for the founders of the later eighteenth century to produce letters which are positively ugly, and which, it may be added,
LJ001-0092|The Chiswick press in 1844 revived Caslon's founts, printing for Messrs. Longman the Diary of Lady Willoughby.|The Chiswick press in eighteen forty-four revived Caslon's founts, printing for Messrs. Longman the Diary of Lady Willoughby.
LJ001-0093|This experiment was so far successful that about 1850 Messrs. Miller and Richard of Edinburgh|This experiment was so far successful that about eighteen fifty Messrs. Miller and Richard of Edinburgh
LJ001-0094|were induced to cut punches for a series of "old style" letters.|were induced to cut punches for a series of "old style" letters.
LJ001-0095|These and similar founts, cast by the above firm and others,|These and similar founts, cast by the above firm and others,
LJ001-0097|a little reduced in ugliness. The design of the letters of this modern "old style" leaves a good deal to be desired,|a little reduced in ugliness. The design of the letters of this modern "old style" leaves a good deal to be desired,
LJ001-0104|Italy is contentedly stagnant.|Italy is contentedly stagnant.
LJ001-0107|To say a few words on the principles of design in typography:|To say a few words on the principles of design in typography:
LJ001-0112|instead of ending in the sharp and clear stroke of Jenson's letters;|instead of ending in the sharp and clear stroke of Jenson's letters;
LJ001-0123|this is awkward if you have to read Bradshaw's Guide in a hurry.|this is awkward if you have to read Bradshaw's Guide in a hurry.
LJ001-0125|this is the narrowing of the modern letters.|this is the narrowing of the modern letters.
LJ001-0135|it is impossible that they should be quite equal except in lines of poetry|it is impossible that they should be quite equal except in lines of poetry
LJ001-0136|modern printers understand this, but it is only practiced in the very best establishments.|modern printers understand this, but it is only practiced in the very best establishments.
LJ001-0138|this is the tendency to the formation of ugly meandering white lines or "rivers" in the page|this is the tendency to the formation of ugly meandering white lines or "rivers" in the page
LJ001-0142|modern printers generally overdo the "whites" in the spacing, a defect probably forced on them by the characterless quality of the letters.|modern printers generally overdo the "whites" in the spacing, a defect probably forced on them by the characterless quality of the letters.
LJ001-0143|For where these are boldly and carefully designed, and each letter is thoroughly individual in form,|For where these are boldly and carefully designed, and each letter is thoroughly individual in form,
LJ001-0145|No definite rules, however, except the avoidance of "rivers" and excess of white, can be given for the spacing,|No definite rules, however, except the avoidance of "rivers" and excess of white, can be given for the spacing,
LJ001-0146|which requires the constant exercise of judgment and taste on the part of the printer.|which requires the constant exercise of judgment and taste on the part of the printer.
LJ001-0147|The position of the page on the paper should be considered if the book is to have a satisfactory look.|The position of the page on the paper should be considered if the book is to have a satisfactory look.
LJ001-0149|From the time when books first took their present shape till the end of the sixteenth century, or indeed later,|From the time when books first took their present shape till the end of the sixteenth century, or indeed later,
LJ001-0152|The modern printer, in the teeth of the evidence given by his own eyes, considers the single page as the unit, and prints the page in the middle of his paper|The modern printer, in the teeth of the evidence given by his own eyes, considers the single page as the unit, and prints the page in the middle of his paper
LJ001-0157|of this it may be said that though there is some good paper made now,|of this it may be said that though there is some good paper made now,
LJ001-0159|The paper that is used for ordinary books is exceedingly bad even in this country, but is beaten in the race for vileness|The paper that is used for ordinary books is exceedingly bad even in this country, but is beaten in the race for vileness
LJ001-0160|by that made in America, which is the worst conceivable.|by that made in America, which is the worst conceivable.
LJ001-0161|There seems to be no reason why ordinary paper should not be better made,|There seems to be no reason why ordinary paper should not be better made,
LJ001-0163|e.g. the cheap paper should not sacrifice toughness and durability to a smooth and white surface,|e.g. the cheap paper should not sacrifice toughness and durability to a smooth and white surface,
LJ001-0169|The paper used for printing the small highly ornamented French service-books about the beginning of the sixteenth century is a model in this respect,|The paper used for printing the small highly ornamented French service-books about the beginning of the sixteenth century is a model in this respect,
LJ001-0170|being thin, tough, and opaque.|being thin, tough, and opaque.
LJ001-0171|However, the fact must not be blinked that machine-made paper cannot in the nature of things be made of so good a texture as that made by hand.|However, the fact must not be blinked that machine-made paper cannot in the nature of things be made of so good a texture as that made by hand.
LJ001-0172|The ornamentation of printed books is too wide a subject to be dealt with fully here; but one thing must be said on it.|The ornamentation of printed books is too wide a subject to be dealt with fully here; but one thing must be said on it.
LJ001-0174|should be a part of the whole scheme of the book.|should be a part of the whole scheme of the book.
LJ001-0175|Simple as this proposition is, it is necessary to be stated,|Simple as this proposition is, it is necessary to be stated,
LJ001-0176|because the modern practice is to disregard the relation between the printing and the ornament altogether,|because the modern practice is to disregard the relation between the printing and the ornament altogether,
LJ001-0180|the proportions of the page still give pleasure by the sense of richness that the cuts and letter together convey.|the proportions of the page still give pleasure by the sense of richness that the cuts and letter together convey.
LJ001-0183|Therefore, granted well-designed type, due spacing of the lines and words, and proper position of the page on the paper,|Therefore, granted well-designed type, due spacing of the lines and words, and proper position of the page on the paper,
LJ002-0002|Under the conditions referred to in the previous chapter,|Under the conditions referred to in the previous chapter,
LJ002-0007|Neild gives some figures which well illustrate this.|Neild gives some figures which well illustrate this.
LJ002-0010|these numbers had risen to 275 and 375 respectively, or 650 in all.|these numbers had risen to two hundred seventy-five and three hundred seventy-five respectively, or six hundred fifty in all.
LJ002-0012|After that they fell as steadily,|After that they fell as steadily,
LJ002-0013|till, 1808, the lowest point was touched of 197 debtors and 182 felons, or 379 in all.|till, eighteen oh eight, the lowest point was touched of one hundred ninety-seven debtors and one hundred eighty-two felons, or three hundred seventy-nine in all.
LJ002-0015|300 debtors and 900 criminals in Newgate, or twelve hundred prisoners in all.|three hundred debtors and nine hundred criminals in Newgate, or twelve hundred prisoners in all.
LJ002-0018|The inadequacy of the jail was noticed and reported upon again and again by the grand juries of the city of London,|The inadequacy of the jail was noticed and reported upon again and again by the grand juries of the city of London,
LJ002-0025|Returns laid before the House of Commons showed that 6439 persons had been committed to Newgate|Returns laid before the House of Commons showed that six thousand, four hundred thirty-nine persons had been committed to Newgate
LJ002-0029|as it was occupied and appropriated in 1810.|as it was occupied and appropriated in eighteen ten.
LJ002-0030|Full details of the arrangements are to be found in Mr. Neild's "State of Prisons in England, Scotland, and Wales," published in 1812.|Full details of the arrangements are to be found in Mr. Neild's "State of Prisons in England, Scotland, and Wales," published in eighteen twelve.
LJ002-0031|The jail at that date was divided into eight separate and more or less distinct departments, each of which had its own wards and yard.|The jail at that date was divided into eight separate and more or less distinct departments, each of which had its own wards and yard.
LJ002-0032|These were: 1. The male debtors' side.|These were: one. The male debtors' side.
LJ002-0033|2. The female debtors' side. 3. The chapel yard. 4. The middle yard.|two. The female debtors' side. three. The chapel yard. four. The middle yard.
LJ002-0034|5. The master felons' side. 6. The female felons' side. 7. The state side.|five. The master felons' side. six. The female felons' side. seven. The state side.
LJ002-0037|leading to thirteen wards on various floors, and a day room.|leading to thirteen wards on various floors, and a day room.
LJ002-0039|they each contained four small rooms or "cabins" seven feet square,|they each contained four small rooms or "cabins" seven feet square,
LJ002-0040|intended to accommodate a couple of prisoners apiece, but often much more crowded.|intended to accommodate a couple of prisoners apiece, but often much more crowded.
LJ002-0041|Two other wards were appropriated to the master's side debtors; they were each twenty-three feet by fourteen and a half,|Two other wards were appropriated to the master's side debtors; they were each twenty-three feet by fourteen and a half,
LJ002-0044|the whole about fifteen feet wide.|the whole about fifteen feet wide.
LJ002-0048|2. The female debtors' side consisted of a court-yard forty-nine by sixteen feet,|two. The female debtors' side consisted of a court-yard forty-nine by sixteen feet,
LJ002-0049|leading to two wards, one of which was thirty-six feet by fifteen,|leading to two wards, one of which was thirty-six feet by fifteen,
LJ002-0053|It had been for some time devoted principally to felons of the worst types,|It had been for some time devoted principally to felons of the worst types,
LJ002-0054|those who were the oldest offenders, sentenced to transportation, and who had narrowly escaped the penalty of death.|those who were the oldest offenders, sentenced to transportation, and who had narrowly escaped the penalty of death.
LJ002-0059|those who had turned king's evidence, whose safety might have been imperiled had they been lodged with the men against whom they had informed.|those who had turned king's evidence, whose safety might have been imperiled had they been lodged with the men against whom they had informed.
LJ002-0061|or they lodged with the gatesmen, the prisoner officers who had charge of the inner gates.|or they lodged with the gatesmen, the prisoner officers who had charge of the inner gates.
LJ002-0066|The master felons' side consisted of a yard the same size as the preceding, appropriated nominally to the most decent and better-behaved prisoners,|The master felons' side consisted of a yard the same size as the preceding, appropriated nominally to the most decent and better-behaved prisoners,
LJ002-0067|but really kept for the few who had funds sufficient to gain them admission to these more comfortable quarters.|but really kept for the few who had funds sufficient to gain them admission to these more comfortable quarters.
LJ002-0068|Here were also lodged the gatesmen, the prisoners who had charge of the inner gates, and who were entrusted with the duty of escorting visitors from the gates|Here were also lodged the gatesmen, the prisoners who had charge of the inner gates, and who were entrusted with the duty of escorting visitors from the gates
LJ002-0071|It was large and comparatively commodious, being maintained on a better footing than any other part of the prison.|It was large and comparatively commodious, being maintained on a better footing than any other part of the prison.
LJ002-0073|Neild takes it for granted that the former rather than the latter prevailed in the selection,|Neild takes it for granted that the former rather than the latter prevailed in the selection,
LJ002-0076|The state side contained twelve good-sized rooms,|The state side contained twelve good-sized rooms,
LJ002-0079|Its name and its situation were the same as those of the old place of carrying out the terrible sentence inflicted on accused persons who stood mute.|Its name and its situation were the same as those of the old place of carrying out the terrible sentence inflicted on accused persons who stood mute.
LJ003-0001|The Chronicles of Newgate, Volume 2. By Arthur Griffiths. Section 5: Newgate down to 1818, part 2.|The Chronicles of Newgate, Volume two. By Arthur Griffiths. Section five: Newgate down to eighteen eighteen, part two.
LJ003-0002|The squalor and uncleanness of the debtors' side was intensified by constant overcrowding.|The squalor and uncleanness of the debtors' side was intensified by constant overcrowding.
LJ003-0003|Prisoners were committed to it quite without reference to its capacity.|Prisoners were committed to it quite without reference to its capacity.
LJ003-0004|No remonstrance was attended to,|No remonstrance was attended to,
LJ003-0005|no steps taken to reduce the number of committals, and the governor was obliged to utilize the chapel as a day and night room.|no steps taken to reduce the number of committals, and the governor was obliged to utilize the chapel as a day and night room.
LJ003-0006|Besides this, although the families of debtors were no longer permitted to live with them inside the jail,|Besides this, although the families of debtors were no longer permitted to live with them inside the jail,
LJ003-0007|hundreds of women and children came in every morning to spend the day there, and there was no limitation whatever to the numbers of visitors admitted to the debtors' side.|hundreds of women and children came in every morning to spend the day there, and there was no limitation whatever to the numbers of visitors admitted to the debtors' side.
LJ003-0008|Friends arrived about nine a.m., and went out at nine p.m., when as many as two hundred visitors have been observed leaving the debtors' yards at one time.|Friends arrived about nine a.m., and went out at nine p.m., when as many as two hundred visitors have been observed leaving the debtors' yards at one time.
LJ003-0009|The day passed in revelry and drunkenness. Although spirituous liquors were forbidden,|The day passed in revelry and drunkenness. Although spirituous liquors were forbidden,
LJ003-0010|wine and beer might be had in any quantity, the only limitation being|wine and beer might be had in any quantity, the only limitation being
LJ003-0011|that not more than one bottle of wine or one quart of beer could be issued at one time. No account was taken of the amount of liquors admitted in one day,|that not more than one bottle of wine or one quart of beer could be issued at one time. No account was taken of the amount of liquors admitted in one day,
LJ003-0012|and debtors might practically have as much as they liked, if they could only pay for it.|and debtors might practically have as much as they liked, if they could only pay for it.
LJ003-0013|No attempt was made to check drunkenness, beyond the penalty of shutting out friends from any ward in which a prisoner exceeded.|No attempt was made to check drunkenness, beyond the penalty of shutting out friends from any ward in which a prisoner exceeded.
LJ003-0014|Quarreling among the debtors was not unfrequent. Blows were struck, and fights often ensued.|Quarreling among the debtors was not unfrequent. Blows were struck, and fights often ensued.
LJ003-0015|For this and other acts of misconduct there was the discipline of the refractory ward, or "strong room" on the debtors' side.|For this and other acts of misconduct there was the discipline of the refractory ward, or "strong room" on the debtors' side.
LJ003-0016|Bad cases were removed to a cell on the felons' side, and here they were locked in solitary confinement for three days at a time.|Bad cases were removed to a cell on the felons' side, and here they were locked in solitary confinement for three days at a time.
LJ003-0017|Order throughout the debtors' side was preserved|Order throughout the debtors' side was preserved
LJ003-0018|and discipline maintained by a system open to grave abuses, and which had the prescription of long usage,|and discipline maintained by a system open to grave abuses, and which had the prescription of long usage,
LJ003-0019|and which was never wholly rooted out for many years to come.|and which was never wholly rooted out for many years to come.
LJ003-0020|This was the pernicious plan of governing by prisoners, or of setting a favored few in authority over the many.|This was the pernicious plan of governing by prisoners, or of setting a favored few in authority over the many.
LJ003-0021|The head of the debtors' prison was a prisoner called the steward, who was chosen by the whole body from six whom the keeper nominated.|The head of the debtors' prison was a prisoner called the steward, who was chosen by the whole body from six whom the keeper nominated.
LJ003-0022|This steward was practically supreme.|This steward was practically supreme.
LJ003-0023|All the allowances of food passed through his hands; he had the control of the poor-box for chance charities,|All the allowances of food passed through his hands; he had the control of the poor-box for chance charities,
LJ003-0024|he collected the garnish money, and distributed the weekly grant from the prison charitable fund.|he collected the garnish money, and distributed the weekly grant from the prison charitable fund.
LJ003-0025|In the latter duties he was, however, supervised by three auditors, freely chosen by the prisoners among themselves.|In the latter duties he was, however, supervised by three auditors, freely chosen by the prisoners among themselves.
LJ003-0026|The auditors were paid a shilling each for their services each time the poor-box was opened. The steward was also remunerated for his trouble.|The auditors were paid a shilling each for their services each time the poor-box was opened. The steward was also remunerated for his trouble.
LJ003-0027|He had a double allowance of bread, deducted, of course, from the already too limited portion of the rest,|He had a double allowance of bread, deducted, of course, from the already too limited portion of the rest,
LJ003-0028|and no doubt made the meat also pay toll.|and no doubt made the meat also pay toll.
LJ003-0029|Under the steward there were captains of wards, chosen in the same way, and performing analogous duties.|Under the steward there were captains of wards, chosen in the same way, and performing analogous duties.
LJ003-0030|These subordinate chiefs were also rewarded out of the scanty prison rations.|These subordinate chiefs were also rewarded out of the scanty prison rations.
LJ003-0031|The same system was extended to the criminal side, and cases were on record of the place of wardsman being sold for considerable sums.|The same system was extended to the criminal side, and cases were on record of the place of wardsman being sold for considerable sums.
LJ003-0032|So valuable were they deemed, that as much as fifty guineas was offered to the keeper for the post.|So valuable were they deemed, that as much as fifty guineas was offered to the keeper for the post.
LJ003-0033|Enough has been said, probably, to prove that there was room for improvement in the condition and treatment of debtors in the prisons of the city of London.|Enough has been said, probably, to prove that there was room for improvement in the condition and treatment of debtors in the prisons of the city of London.
LJ003-0034|This gradually was forced upon the consciousness of the Corporation,|This gradually was forced upon the consciousness of the Corporation,
LJ003-0035|and about 1812 application was made to Parliament for funds to build a new debtors' prison.|and about eighteen twelve application was made to Parliament for funds to build a new debtors' prison.
LJ003-0036|Authority was given to raise money on the Orphans' Fund to the extent of Â£90,000.|Authority was given to raise money on the Orphans' Fund to the extent of ninety thousand pounds.
LJ003-0037|A site was purchased between Red Lion and White Cross streets, and a new prison planned,|A site was purchased between Red Lion and White Cross streets, and a new prison planned,
LJ003-0038|which would accommodate the inmates of Newgate and of the three compters, Ludgate,|which would accommodate the inmates of Newgate and of the three compters, Ludgate,
LJ003-0039|Giltspur Street, and the Poultry, or about four hundred and seventy-six in all.|Giltspur Street, and the Poultry, or about four hundred and seventy-six in all.
LJ003-0040|The evils of association for these debtors were perpetuated, although the plan provided for the separation of the various contingents committed to it.|The evils of association for these debtors were perpetuated, although the plan provided for the separation of the various contingents committed to it.
LJ003-0041|There was no lack of air and light for the new jail, and several exercising yards.|There was no lack of air and light for the new jail, and several exercising yards.
LJ003-0042|The completion of this very necessary building was, however, much delayed for want of funds,|The completion of this very necessary building was, however, much delayed for want of funds,
LJ003-0043|and it was not ready to relieve Newgate till late in 1815.|and it was not ready to relieve Newgate till late in eighteen fifteen.
LJ003-0044|The reforms which were to be attempted in that prison|The reforms which were to be attempted in that prison
LJ003-0045|more particularly as regarded the classification of prisoners, and which were dependent on the space to be gained by the removal of the debtors,|more particularly as regarded the classification of prisoners, and which were dependent on the space to be gained by the removal of the debtors,
LJ003-0046|could not be carried out till then. It is to be feared that long after the opening of White Cross Street prison,|could not be carried out till then. It is to be feared that long after the opening of White Cross Street prison,
LJ003-0047|Newgate continued to be a reproach to those responsible for its management.|Newgate continued to be a reproach to those responsible for its management.
LJ003-0048|I pass now to the criminal side of Newgate, which consisted of the six quarters or yards already enumerated and described.|I pass now to the criminal side of Newgate, which consisted of the six quarters or yards already enumerated and described.
LJ003-0049|The inmates of this part, as distinguished from the debtors, were comprised in four classes:|The inmates of this part, as distinguished from the debtors, were comprised in four classes:
LJ003-0050|(1) those awaiting trial;|(one) those awaiting trial;
LJ003-0051|(2) persons under sentence of imprisonment for a fixed period, or until they shall have paid certain fines;|(two) persons under sentence of imprisonment for a fixed period, or until they shall have paid certain fines;
LJ003-0052|(3) transports awaiting removal to the colonies, and (4) capital convicts, condemned to death and awaiting execution.|(three) transports awaiting removal to the colonies, and (four) capital convicts, condemned to death and awaiting execution.
LJ003-0053|At one time the whole of these different categories were thrown together pell-mell, young and old, the untried with the convicted.|At one time the whole of these different categories were thrown together pell-mell, young and old, the untried with the convicted.
LJ003-0054|An imperfect attempt at classification was, however, made in 1812, and a yard was as far as possible set apart for the untried,|An imperfect attempt at classification was, however, made in eighteen twelve, and a yard was as far as possible set apart for the untried,
LJ003-0055|or class (1), with whom, under the imperious demand for accommodation, were also associated the misdemeanants, or class (2).|or class (one), with whom, under the imperious demand for accommodation, were also associated the misdemeanants, or class (two).
LJ003-0056|This was the chapel yard, with its five wards, which were calculated to hold seventy prisoners, but often held many more.|This was the chapel yard, with its five wards, which were calculated to hold seventy prisoners, but often held many more.
LJ003-0057|A further sub-classification was attempted by separating at night those charged with misdemeanors from those charged with felony,|A further sub-classification was attempted by separating at night those charged with misdemeanors from those charged with felony,
LJ003-0058|but all mingled freely during the day in the yard.|but all mingled freely during the day in the yard.
LJ003-0059|The sleeping accommodation in the chapel-yard wards, and indeed throughout the prison, consisted of a barrack bed,|The sleeping accommodation in the chapel-yard wards, and indeed throughout the prison, consisted of a barrack bed,
LJ003-0060|which was a wooden flooring on a slightly inclined plane, with a beam running across the top to serve as a pillow.|which was a wooden flooring on a slightly inclined plane, with a beam running across the top to serve as a pillow.
LJ003-0061|No beds were issued, only two rugs per prisoner.|No beds were issued, only two rugs per prisoner.
LJ003-0062|When each sleeper had the full lateral space allotted to him, it amounted to one foot and a half on the barrack bed;|When each sleeper had the full lateral space allotted to him, it amounted to one foot and a half on the barrack bed;
LJ003-0063|but when the ward was obliged to accommodate double the ordinary number, as was frequently the case,|but when the ward was obliged to accommodate double the ordinary number, as was frequently the case,
LJ003-0064|the sleepers covered the entire floor, with the exception of a passage in the middle.|the sleepers covered the entire floor, with the exception of a passage in the middle.
LJ003-0065|All the misdemeanants, whatever their offense, were lodged in this chapel ward.|All the misdemeanants, whatever their offense, were lodged in this chapel ward.
LJ003-0066|As many various and, according to our ideas, heinous crimes came under this head,|As many various and, according to our ideas, heinous crimes came under this head,
LJ003-0067|in the then existing state of the law,|in the then existing state of the law,
LJ003-0068|the man guilty of a common assault found himself side by side with the fraudulent, or others who had attempted abominable crimes.|the man guilty of a common assault found himself side by side with the fraudulent, or others who had attempted abominable crimes.
LJ003-0069|In this heterogeneous society were also thrown the unfortunate journalists to whom I have already referred, and on whom imprisonment in Newgate|In this heterogeneous society were also thrown the unfortunate journalists to whom I have already referred, and on whom imprisonment in Newgate
LJ003-0070|was frequently adjudged for so-called libels, or too out-spoken comments in print.|was frequently adjudged for so-called libels, or too out-spoken comments in print.
LJ003-0071|It was particularly recommended by the Committee on Jails in 1814|It was particularly recommended by the Committee on Jails in eighteen fourteen
LJ003-0072|that some other and less mixed prison should be used for the confinement of persons convicted of libels. But this suggestion was ignored.|that some other and less mixed prison should be used for the confinement of persons convicted of libels. But this suggestion was ignored.
LJ003-0073|Indeed the partial classification attempted seems to have been abandoned within a year or two.|Indeed the partial classification attempted seems to have been abandoned within a year or two.
LJ003-0074|The Hon. H. G. Bennet, who visited Newgate in 1817, saw in one yard, in a total of seventy-two prisoners,|The Hon. H. G. Bennet, who visited Newgate in eighteen seventeen, saw in one yard, in a total of seventy-two prisoners,
LJ003-0075|thirty-five tried and thirty-seven untried. Of the former, three were transports for life,|thirty-five tried and thirty-seven untried. Of the former, three were transports for life,
LJ003-0076|four for fourteen years, and three of them persons sentenced to fines or short imprisonment -- one for little more than a month.|four for fourteen years, and three of them persons sentenced to fines or short imprisonment -- one for little more than a month.
LJ003-0077|Two of the untried were for murder, and several for house-breaking and highway robbery.|Two of the untried were for murder, and several for house-breaking and highway robbery.
LJ003-0078|Nor were the misdemeanants and bail prisoners any longer separated from those whose crimes were of a more serious character.|Nor were the misdemeanants and bail prisoners any longer separated from those whose crimes were of a more serious character.
LJ003-0079|Mr. Bennet refers to a gentleman confined for want of bail, who occupied a room with five others|Mr. Bennet refers to a gentleman confined for want of bail, who occupied a room with five others
LJ003-0080|two committed by the Bankruptcy Commissioner, one for perjury, and two transports.|two committed by the Bankruptcy Commissioner, one for perjury, and two transports.
LJ003-0081|Persons convicted of publishing libels were still immured in the same rooms with transports and felons.|Persons convicted of publishing libels were still immured in the same rooms with transports and felons.
LJ003-0082|The middle yard, as far as its limits would permit, was appropriated to felons and transports. The wards here were generally very crowded.|The middle yard, as far as its limits would permit, was appropriated to felons and transports. The wards here were generally very crowded.
LJ003-0083|Each ward was calculated to hold twenty-four, allowing each individual one foot and a half;|Each ward was calculated to hold twenty-four, allowing each individual one foot and a half;
LJ003-0084|Quote, a common-sized man, says the keeper, Mr. Newman, can turn in nineteen inches, end quote.|Quote, a common-sized man, says the keeper, Mr. Newman, can turn in nineteen inches, end quote.
LJ003-0085|These twenty-four could just sleep on the barrack bed; when the number was higher, and it often rose to forty, the surplus had to sleep on the floor.|These twenty-four could just sleep on the barrack bed; when the number was higher, and it often rose to forty, the surplus had to sleep on the floor.
LJ003-0086|The crowding was in consequence of the delay in removing transports.|The crowding was in consequence of the delay in removing transports.
LJ003-0087|These often remained in Newgate for six months, sometimes a year, in some cases longer;|These often remained in Newgate for six months, sometimes a year, in some cases longer;
LJ003-0088|in one, for seven years -- that of a man sentenced to death, for whom great interest had been made, but whom it was not thought right to pardon.|in one, for seven years -- that of a man sentenced to death, for whom great interest had been made, but whom it was not thought right to pardon.
LJ003-0089|Occasionally the transports made themselves so useful in the jail that they were passed over.|Occasionally the transports made themselves so useful in the jail that they were passed over.
LJ003-0090|Mr. Newman admitted that he had petitioned that certain "trusty men" might be left in the jail.|Mr. Newman admitted that he had petitioned that certain "trusty men" might be left in the jail.
LJ003-0091|Constantly associated with these convicted felons were numbers of juveniles, infants of tender years.|Constantly associated with these convicted felons were numbers of juveniles, infants of tender years.
LJ003-0092|There were frequently in the middle yard seven or eight children, the youngest barely nine,|There were frequently in the middle yard seven or eight children, the youngest barely nine,
LJ003-0093|the oldest only twelve or thirteen, exposed to all the contaminating influences of the place.|the oldest only twelve or thirteen, exposed to all the contaminating influences of the place.
LJ003-0094|Mr. Bennet mentions also the case of young men of better stamp, clerks in city offices, and youths of good parentage,|Mr. Bennet mentions also the case of young men of better stamp, clerks in city offices, and youths of good parentage,
LJ003-0095|Quote, in this dreadful situation, end quote. who had been rescued from the hulks through the kindness and attention of the Secretary of State.|Quote, in this dreadful situation, end quote. who had been rescued from the hulks through the kindness and attention of the Secretary of State.
LJ003-0096|Quote, yet they had been long enough, he goes on to say, in the prison associated with the lowest and vilest criminals,|Quote, yet they had been long enough, he goes on to say, in the prison associated with the lowest and vilest criminals,
LJ003-0097|with convicts of all ages and characters, to render it next to impossible but that, with the obliteration of all sense of self-respect,|with convicts of all ages and characters, to render it next to impossible but that, with the obliteration of all sense of self-respect,
LJ003-0098|the inevitable consequence of such a situation, their morals must have been destroyed;|the inevitable consequence of such a situation, their morals must have been destroyed;
